PID,ContinentOfResidence,Item,ItemImage,Self_Owning,Self_Familiar,Danger_Self,Danger_Other,Danger_Robot,Self_Danger_Time,Other_Danger_Time,Robot_Danger_Time
PID_4,Europe,Mortar and Pestle,mortarandpestle-01.jpg,No,18,28,4,24,9.87,4.275,6.375
PID_4,Europe,Microplane,microplane-01.jpg,Yes,69,4,20,55,9.727,7.234,4.656
PID_4,Europe,Thermos,thermos-01.jpg,Yes,90,36,26,16,9.262,11.042,4.249
PID_4,Europe,Napkin,napkin-01.jpg,Yes,87,12,3,10,10.884,5.812,4.159
PID_4,Europe,Colander,colander-01.jpg,Yes,95,0,20,23,13.638,4.878,3.788
PID_4,Europe,Cutting Board,cuttingboard-01.jpg,Yes,100,54,64,14,8.72,5.688,6.256
PID_5,Europe,Kitchen Paper,kitchenpaper-01.jpg,Yes,100,3,0,0,18.943,11.923,4.732
PID_5,Europe,Pitter,pitter-01.jpg,Yes,100,0,1,0,8.532,2.776,4.373
PID_5,Europe,Cookie Cutter,cookiecutter-01.jpg,Yes,100,2,0,0,7.759,3.379,4.069
PID_5,Europe,Blow Torch,blowtorch-01.jpg,Yes,100,29,22,87,11.369,4.501,3.596
PID_5,Europe,Chef's Knife,chefsknife-01.jpg,Yes,100,0,6,95,7.298,4.713,3.796
PID_5,Europe,Pot Holders,potholders-01.jpg,Yes,100,0,0,0,10.702,2.472,3.067
PID_5,Europe,Corer,corer-01.jpg,Yes,100,0,0,54,36.849,3.241,3.662
PID_5,Europe,Straw,straw-01.jpg,Yes,100,0,0,0,9.797,3.892,2.639
PID_5,Europe,Mortar and Pestle,mortarandpestle-01.jpg,Yes,100,0,0,74,29.327,3.864,4.009
PID_5,Europe,Corkscrew,corkscrew-01.jpg,Yes,100,0,0,76,6.822,2.67,4.951
PID_6,Europe,Measuring Cups,measuringcups-01.jpg,Yes,100,0,0,0,18.548,8.562,4.28
PID_6,Europe,Jar,jar-01.jpg,Yes,100,0,0,0,9.9,3.597,3.159
PID_6,Europe,Sieve,sieve-01.jpg,Yes,100,0,0,0,7.226,2.814,2.557
PID_6,Europe,Egg Separator,eggseparator-01.jpg,No,61,0,0,0,17.139,2.829,2.593
PID_6,Europe,Knife Sharpener,knifesharpener-01.jpg,Yes,72,33,11,80,13.491,8.613,6.817
PID_6,Europe,Measuring Cup,measuringcup-01.jpg,Yes,100,0,0,0,9.577,4.019,2.921
PID_6,Europe,Peeler,peeler-01.jpg,Yes,100,13,0,79,9.883,3.991,3.86
PID_6,Europe,Blow Torch,blowtorch-01.jpg,Yes,100,21,14,100,8.617,3.191,2.817
PID_6,Europe,Bottle Opener,bottleopener-01.jpg,Yes,100,0,0,0,9.158,2.715,2.628
PID_6,Europe,Mechanical Egg Beater,mechanicaleggbeater-01.jpg,Yes,100,0,0,0,6.028,3.114,2.84
PID_7,Europe,Poacher,poacher-01.jpg,No,3,11,17,14,10.843,6.873,4.172
PID_7,Europe,Tablecloth,tablecloth-01.jpg,Yes,60,3,16,10,11.77,3.53,3.864
PID_7,Europe,Pot,pot-01.jpg,Yes,76,5,32,9,9.602,69.233,3.299
PID_7,Europe,Pitter,pitter-01.jpg,No,13,29,12,15,11.2,2.688,2.33
PID_7,Europe,Chopsticks,chopsticks-01.jpg,Yes,97,5,12,1,7.927,48.501,2.434
PID_7,Europe,Espresso Milk Jug,espressomilkjug-01.jpg,No,92,20,15,25,8.786,3.324,4.259
PID_7,Europe,Pot Holders,potholders-01.jpg,No,18,11,10,12,8.241,2.37,4.078
PID_7,Europe,Bottle,bottle-01.jpg,Yes,79,3,1,8,9.138,2.951,3.763
PID_7,Europe,Scissors,scissors-01.jpg,Yes,78,33,47,60,56.554,2.539,3.787
PID_7,Europe,Thermos,thermos-01.jpg,No,64,12,2,11,5.486,3.443,3.254
PID_8,Europe,Coffee Dripper,coffeedripper-01.jpg,No,72,34,0,30,29.949,8.648,7.205
PID_8,Europe,Zester,zester-01.jpg,Yes,100,8,0,0,86.894,4.789,3.887
PID_8,Europe,Cracker,cracker-01.jpg,Yes,100,0,0,0,7.089,3.215,3.492
PID_8,Europe,Corer,corer-01.jpg,Yes,100,33,0,35,7.084,2.757,4.32
PID_8,Europe,Mandoline,mandoline-01.jpg,Yes,100,61,92,0,6.542,4.592,4.703
PID_8,Europe,Napkin,napkin-01.jpg,Yes,100,0,0,0,8.239,3.18,2.958
PID_8,Europe,Pan,pan-01.jpg,Yes,100,9,0,73,8.79,3.719,4.874
PID_8,Europe,Espresso Cup,espressocup-01.jpg,Yes,100,0,0,0,5.552,3.381,2.566
PID_8,Europe,Coffeemaker,coffeemaker-01.jpg,No,100,0,0,81,10.391,2.802,3.145
PID_8,Europe,Scraper,scraper-01.jpg,Yes,100,0,0,0,7.269,2.807,3.987
PID_9,Europe,Pot Holders,potholders-01.jpg,Yes,100,26,25,59,16.343,7.935,2.861
PID_9,Europe,Bowl,bowl-01.jpg,Yes,99,5,0,34,8.612,2.798,3.094
PID_9,Europe,Zipper Bag,zipperbag-01.jpg,Yes,100,0,10,36,8.978,3.164,2.601
PID_9,Europe,Brush,brush-01.jpg,Yes,72,0,0,6,7.293,2.692,3.438
PID_9,Europe,Ramekin,ramekin-01.jpg,No,58,18,13,37,8.587,3.299,3.074
PID_9,Europe,Poacher,poacher-01.jpg,No,9,9,59,84,8.715,3.122,2.761
PID_9,Europe,Spider,spider-01.jpg,No,58,30,62,91,7.476,3.534,2.581
PID_9,Europe,Aluminum Foil,aluminumfoil-01.jpg,Yes,100,0,0,10,6.654,3.269,3.016
PID_9,Europe,Funnel,funnel-01.jpg,Yes,100,17,11,61,6.15,3.617,2.78
PID_9,Europe,Jar Opener,jaropener-01.jpg,No,32,79,83,93,5.994,3.669,3.737
PID_10,Europe,Grater,grater-01.jpg,Yes,100,75,0,3,106.203,8.283,7.725
PID_10,Europe,Blow Torch,blowtorch-01.jpg,No,59,65,35,68,20.153,7.23,4.651
PID_10,Europe,Paring Knife,paringknife-01.jpg,Yes,100,67,0,56,8.155,3.222,2.583
PID_10,Europe,Cocktail Muddler,cocktailmuddler-01.jpg,Yes,100,8,0,14,15.669,2.781,4.66
PID_10,Europe,Dish Towel,dishtowel-01.jpg,Yes,100,0,0,0,7.783,3.233,2.792
PID_10,Europe,Pan,pan-01.jpg,Yes,100,0,34,64,6.592,4.518,2.606
PID_10,Europe,Bag,bag-01.jpg,Yes,100,0,0,1,77.537,2.846,2.63
PID_10,Europe,Cake Lifter,cakelifter-01.jpg,Yes,100,0,0,0,14.942,3.089,2.56
PID_10,Europe,Bottle Cap,bottlecap-01.jpg,Yes,100,0,0,0,7.8,2.899,2.336
PID_10,Europe,Mug,mug-01.jpg,Yes,100,0,0,0,6.677,2.3,3.015
PID_11,Europe,Cookbook,cookbook-01.jpg,No,6,29,0,0,31.651,7.895,5.912
PID_11,Europe,Placemat,placemat-01.jpg,Yes,100,0,0,0,13.94,3.951,3.11
PID_11,Europe,Pitter,pitter-01.jpg,No,78,0,0,11,37.046,5.385,3.621
PID_11,Europe,Sieve,sieve-01.jpg,Yes,100,0,0,1,19.59,5.478,5.436
PID_11,Europe,Canister,canister-01.jpg,No,74,10,4,0,17.267,4.481,5.421
PID_11,Europe,Chef's Knife,chefsknife-01.jpg,Yes,73,74,64,81,17.188,6.114,4.844
PID_11,Europe,Pizza Cutter,pizzacutter-01.jpg,Yes,100,4,56,66,14.897,5.217,5.238
PID_11,Europe,Coaster,coaster-01.jpg,Yes,100,0,0,0,12.892,3.871,3.773
PID_11,Europe,Scissors,scissors-01.jpg,Yes,99,54,63,78,13.98,3.861,4.793
PID_11,Europe,Potato Masher,potatomasher-01.jpg,No,26,5,0,9,34.753,3.823,4.611
PID_12,Europe,Chef's Knife,chefsknife-01.jpg,Yes,100,63,59,18,19.084,8.151,7.097
PID_12,Europe,Soup Plate,soupplate-01.jpg,Yes,100,40,0,33,12.267,4.371,4.859
PID_12,Europe,Metal Skewers,metalskewers-01.jpg,Yes,100,65,53,15,11.355,7.898,4.0
PID_12,Europe,Cracker,cracker-01.jpg,Yes,100,32,27,26,10.869,3.4,4.488
PID_12,Europe,Potato Ricer,potatoricer-01.jpg,Yes,100,27,28,10,14.775,7.479,5.201
PID_12,Europe,Perforated Spoon,perforatedspoon-01.jpg,Yes,100,4,2,5,11.0,4.446,4.146
PID_12,Europe,Dish Rack,dishrack-01.jpg,Yes,100,0,7,4,12.788,4.3,3.4
PID_12,Europe,Mandoline,mandoline-01.jpg,Yes,85,78,40,11,18.901,5.272,7.6
PID_12,Europe,Egg Separator,eggseparator-01.jpg,No,78,16,3,5,12.901,6.075,4.301
PID_12,Europe,Zester,zester-01.jpg,Yes,100,64,39,7,9.101,4.596,3.663
PID_13,Europe,Mill,mill-01.jpg,Yes,90,6,3,0,16.622,6.344,2.59
PID_13,Europe,Kitchen Scale,kitchenscale-01.jpg,No,97,0,0,2,8.667,68.53,4.135
PID_13,Europe,Tray,tray-01.jpg,Yes,100,0,0,0,7.17,2.471,7.772
PID_13,Europe,Cooling Rack,coolingrack-01.jpg,No,100,0,5,3,9.925,3.163,16.635
PID_13,Europe,Bag,bag-01.jpg,Yes,100,0,0,0,8.778,3.01,3.13
PID_13,Europe,Frother,frother-01.jpg,Yes,100,34,0,0,8.939,2.843,2.4
PID_13,Europe,Coffee Cup,coffeecup-01.jpg,Yes,100,12,0,0,6.466,2.782,10.414
PID_13,Europe,Ice Cube Tray,icecubetray-01.jpg,Yes,100,2,0,0,5.8,2.721,34.665
PID_13,Europe,Straw,straw-01.jpg,Yes,100,0,0,0,5.89,2.469,2.451
PID_13,Europe,Wine Glass,wineglass-01.jpg,Yes,100,50,0,24,5.107,2.691,2.51
PID_14,Africa,Coffee Cup,coffeecup-01.jpg,Yes,100,0,0,0,34.905,22.406,17.84
PID_14,Africa,Wine Glass,wineglass-01.jpg,Yes,100,0,0,0,15.435,7.132,5.035
PID_14,Africa,Table Fork,tablefork-01.jpg,Yes,100,0,0,81,16.586,5.543,10.505
PID_14,Africa,Mixer,mixer-01.jpg,No,100,0,0,0,30.103,7.501,6.534
PID_14,Africa,Perforated Spoon,perforatedspoon-01.jpg,Yes,100,0,0,0,15.448,5.942,14.685
PID_14,Africa,Sieve,sieve-01.jpg,Yes,100,0,0,0,13.496,8.277,5.924
PID_14,Africa,Knife Sharpener,knifesharpener-01.jpg,Yes,100,76,100,100,21.674,7.597,6.141
PID_14,Africa,Kitchen Paper,kitchenpaper-01.jpg,Yes,100,0,0,0,12.465,5.399,5.381
PID_14,Africa,Cake Lifter,cakelifter-01.jpg,No,0,46,32,84,39.385,7.602,6.98
PID_14,Africa,Dessert Fork,dessertfork-01.jpg,Yes,100,0,0,88,13.558,4.634,5.334
PID_15,Africa,Bowl,bowl-01.jpg,Yes,100,0,100,100,18.453,136.182,18.473
PID_15,Africa,Trash Can,trashcan-01.jpg,Yes,100,0,0,52,8.368,5.131,5.544
PID_15,Africa,Spatula,spatula-01.jpg,Yes,100,0,0,50,7.298,7.011,5.824
PID_15,Africa,Frother,frother-01.jpg,Yes,100,71,100,100,16.551,11.254,39.496
PID_15,Africa,Corkscrew,corkscrew-01.jpg,Yes,100,75,100,100,15.677,3.439,31.347
PID_15,Africa,Table Knife,tableknife-01.jpg,Yes,100,33,100,100,8.765,3.586,142.278
PID_15,Africa,Ice Cube Tray,icecubetray-01.jpg,Yes,100,0,0,0,8.582,4.218,2.86
PID_15,Africa,Sponge,sponge-01.jpg,Yes,100,0,0,0,14.809,3.469,3.434
PID_15,Africa,Water Glass,waterglass-01.jpg,Yes,100,100,75,100,56.153,3.908,4.456
PID_15,Africa,Coffee Cup,coffeecup-01.jpg,Yes,100,100,61,100,21.155,15.441,3.893
PID_16,Europe,Potato Ricer,potatoricer-01.jpg,No,33,44,25,45,29.874,6.615,3.15
PID_16,Europe,Spider,spider-01.jpg,No,19,47,25,42,12.46,18.064,38.573
PID_16,Europe,Piping Syringe,pipingsyringe-01.jpg,No,69,21,17,30,8.384,3.389,4.334
PID_16,Europe,Colander,colander-01.jpg,Yes,81,81,15,31,9.065,2.852,3.146
PID_16,Europe,Corkscrew,corkscrew-01.jpg,Yes,75,30,34,41,9.231,3.401,4.841
PID_16,Europe,Muffin Tray,muffintray-01.jpg,Yes,70,33,44,43,9.049,4.394,3.148
PID_16,Europe,Apron,apron-01.jpg,Yes,72,30,18,23,7.701,3.104,4.67
PID_16,Europe,Cake Lifter,cakelifter-01.jpg,Yes,71,22,17,23,8.593,3.368,5.975
PID_16,Europe,Carving Fork,carvingfork-01.jpg,No,66,64,41,56,8.762,4.103,3.986
PID_16,Europe,Ramekin,ramekin-01.jpg,No,70,39,63,42,39.252,2.783,2.99
PID_17,Europe,Canister,canister-01.jpg,No,10,6,8,28,27.744,3.504,3.283
PID_17,Europe,Muffin Tray,muffintray-01.jpg,No,20,20,3,18,1630.968,1.869,1.879
PID_17,Europe,Bag,bag-01.jpg,Yes,68,16,11,12,14.916,1.812,1.944
PID_17,Europe,Scraper,scraper-01.jpg,No,13,9,7,7,5.862,1.796,1.325
PID_17,Europe,Steamer,steamer-01.jpg,Yes,87,12,83,6,4.417,1.52,1.343
PID_17,Europe,Table Fork,tablefork-01.jpg,Yes,100,0,65,24,5.093,2.776,2.617
PID_17,Europe,Ice Cream Scoop,icecreamscoop-01.jpg,Yes,82,0,15,25,7.11,1.836,1.619
PID_17,Europe,Espresso Cup,espressocup-01.jpg,Yes,96,57,70,27,4.053,1.656,1.483
PID_17,Europe,Blow Torch,blowtorch-01.jpg,No,6,16,28,33,3.756,1.954,1.586
PID_17,Europe,Egg Separator,eggseparator-01.jpg,No,0,0,24,20,4.762,1.528,1.427
PID_18,Europe,Pan,pan-01.jpg,Yes,90,25,13,73,10.34,6.805,3.944
PID_18,Europe,Hand Blender,handblender-01.jpg,Yes,62,76,76,90,9.494,4.893,3.109
PID_18,Europe,Baking Paper,bakingpaper-01.jpg,Yes,93,0,0,0,11.357,4.736,2.889
PID_18,Europe,Oven Gloves,ovengloves-01.jpg,Yes,78,86,26,0,10.542,3.257,3.577
PID_18,Europe,Trash Can,trashcan-01.jpg,Yes,99,0,0,2,8.589,3.867,3.396
PID_18,Europe,Tray,tray-01.jpg,Yes,82,69,61,57,8.614,3.801,3.047
PID_18,Europe,Bottle Cap,bottlecap-01.jpg,Yes,97,0,0,0,9.803,3.8,3.312
PID_18,Europe,Peeler,peeler-01.jpg,Yes,81,70,3,71,10.645,5.163,3.713
PID_18,Europe,Butter Knife,butterknife-01.jpg,Yes,98,16,0,22,8.198,4.554,4.763
PID_18,Europe,Masher,masher-01.jpg,Yes,75,0,57,29,6.194,2.728,5.723
PID_19,Europe,Potato Masher,potatomasher-01.jpg,No,30,0,0,0,23.937,6.485,4.554
PID_19,Europe,Cheese Knife,cheeseknife-01.jpg,No,28,23,0,14,13.356,3.086,4.395
PID_19,Europe,Dish Rack,dishrack-01.jpg,No,65,13,21,15,14.666,5.332,3.134
PID_19,Europe,Dessert Fork,dessertfork-01.jpg,Yes,82,5,0,4,8.091,2.345,3.774
PID_19,Europe,Ice Cube Tray,icecubetray-01.jpg,Yes,72,0,0,5,7.211,2.362,2.604
PID_19,Europe,Meat Mallet,meatmallet-01.jpg,Yes,64,0,0,0,17.668,2.972,3.315
PID_19,Europe,Metal Skewers,metalskewers-01.jpg,No,78,8,0,5,10.277,3.622,4.361
PID_19,Europe,Shaker,shaker-01.jpg,Yes,78,11,0,0,13.16,2.258,4.065
PID_19,Europe,Cutting Board,cuttingboard-01.jpg,Yes,70,1,0,0,8.509,2.437,2.953
PID_19,Europe,Lemon Squeezer,lemonsqueezer-01.jpg,No,74,19,0,7,6.925,2.593,3.017
PID_20,North America,Piping Bag,pipingbag-01.jpg,Yes,67,0,0,23,19.557,4.862,4.635
PID_20,North America,Kettle,kettle-01.jpg,Yes,73,75,89,96,14.166,3.327,7.329
PID_20,North America,Cutting Board,cuttingboard-01.jpg,Yes,73,38,82,100,16.279,6.063,12.106
PID_20,North America,Serving Bowl,servingbowl-01.jpg,Yes,84,0,27,21,9.839,3.091,3.164
PID_20,North America,Coaster,coaster-01.jpg,Yes,79,0,0,0,13.049,1.772,1.924
PID_20,North America,Container,container-01.jpg,Yes,100,0,0,6,10.49,2.873,4.436
PID_20,North America,Sifter,sifter-01.jpg,No,25,0,14,27,11.71,4.0,4.073
PID_20,North America,Dish Cloth,dishcloth-01.jpg,Yes,100,0,0,0,6.925,3.192,1.684
PID_20,North America,Rolling Pin,rollingpin-01.jpg,Yes,29,4,71,81,11.034,3.933,3.8
PID_20,North America,Brush,brush-01.jpg,Yes,68,4,0,73,9.753,2.702,2.05
PID_21,Europe,Cheese Cleaver,cheesecleaver-01.jpg,No,25,0,58,76,16.813,5.826,7.753
PID_21,Europe,Pot Holders,potholders-01.jpg,No,0,0,0,0,12.754,2.971,3.386
PID_21,Europe,Colander,colander-01.jpg,Yes,28,0,0,0,12.416,2.584,3.68
PID_21,Europe,Tea Spoon,teaspoon-01.jpg,Yes,100,0,0,50,7.849,2.083,4.566
PID_21,Europe,Mezzaluna,mezzaluna-01.jpg,No,69,67,68,80,15.1,2.402,4.163
PID_21,Europe,Nutcracker,nutcracker-01.jpg,Yes,72,0,0,0,9.754,4.853,2.452
PID_21,Europe,Beer Mug,beermug-01.jpg,Yes,83,0,0,50,6.494,2.817,3.137
PID_21,Europe,Scraper,scraper-01.jpg,No,0,66,26,60,8.613,9.681,4.418
PID_21,Europe,Masher,masher-01.jpg,Yes,100,0,0,8,8.407,4.318,2.759
PID_21,Europe,Jug,jug-01.jpg,Yes,84,0,0,61,9.9,3.205,8.361
PID_22,Europe,Frother,frother-01.jpg,No,62,22,28,29,17.748,12.86,3.966
PID_22,Europe,Sponge,sponge-01.jpg,Yes,100,0,0,9,9.901,3.425,2.894
PID_22,Europe,Corkscrew,corkscrew-01.jpg,Yes,100,0,29,35,8.269,5.622,6.049
PID_22,Europe,Grater,grater-01.jpg,Yes,100,45,0,29,11.364,3.789,3.562
PID_22,Europe,Champagne Bottle Resealer,champagnebottleresealer-01.jpg,No,40,23,32,29,14.923,5.085,2.891
PID_22,Europe,Bottle Opener,bottleopener-01.jpg,Yes,100,0,30,25,10.621,6.094,3.223
PID_22,Europe,Cake Lifter,cakelifter-01.jpg,Yes,100,0,0,19,8.192,3.301,4.886
PID_22,Europe,Steamer,steamer-01.jpg,No,88,4,26,29,12.5,5.928,2.393
PID_22,Europe,Ice Cream Scoop,icecreamscoop-01.jpg,No,100,0,0,39,10.501,4.613,2.328
PID_22,Europe,Shaker,shaker-01.jpg,Yes,100,0,0,27,8.959,3.294,3.942
PID_23,Europe,Soup Plate,soupplate-01.jpg,Yes,100,0,8,10,12.95,6.861,7.622
PID_23,Europe,Mug,mug-01.jpg,Yes,100,22,36,33,6.119,3.169,4.172
PID_23,Europe,Table Knife,tableknife-01.jpg,Yes,100,36,48,68,6.181,3.048,2.383
PID_23,Europe,Pan,pan-01.jpg,Yes,100,15,24,14,49.459,5.551,4.678
PID_23,Europe,Mechanical Egg Beater,mechanicaleggbeater-01.jpg,No,9,8,0,15,21.893,5.407,4.955
PID_23,Europe,Steamer,steamer-01.jpg,No,83,27,13,4,9.77,5.275,4.923
PID_23,Europe,Measuring Spoon,measuringspoon-01.jpg,No,93,8,0,1,7.189,3.595,5.335
PID_23,Europe,Dish Soap,dishsoap-01.jpg,Yes,100,0,0,0,6.473,4.013,4.254
PID_23,Europe,Jar Opener,jaropener-01.jpg,Yes,81,22,6,42,17.964,5.709,4.05
PID_23,Europe,Coffee Cup,coffeecup-01.jpg,Yes,100,26,8,34,4.911,4.425,3.292
PID_24,Europe,Deep Fryer,deepfryer-01.jpg,No,27,29,36,43,23.343,10.813,4.678
PID_24,Europe,Microplane,microplane-01.jpg,No,37,32,28,59,15.239,4.473,3.87
PID_24,Europe,Mechanical Egg Beater,mechanicaleggbeater-01.jpg,No,0,12,19,30,18.982,6.396,2.912
PID_24,Europe,Tea Sieve,teasieve-01.jpg,Yes,87,18,18,33,12.676,6.596,3.981
PID_24,Europe,Straw,straw-01.jpg,Yes,71,37,13,28,9.957,6.698,2.576
PID_24,Europe,Toaster,toaster-01.jpg,Yes,100,21,64,79,11.471,4.732,2.777
PID_24,Europe,Container,container-01.jpg,Yes,75,34,16,30,10.559,5.219,2.644
PID_24,Europe,Mortar and Pestle,mortarandpestle-01.jpg,Yes,76,25,56,33,15.723,4.281,3.938
PID_24,Europe,Masher,masher-01.jpg,Yes,83,30,24,30,17.942,6.289,3.783
PID_24,Europe,Wine Glass,wineglass-01.jpg,Yes,83,39,29,71,18.737,6.792,6.98
PID_25,North America,Cookbook,cookbook-01.jpg,No,93,8,0,58,19.805,8.099,5.265
PID_25,North America,Ladle,ladle-01.jpg,Yes,100,5,0,22,86.548,5.006,5.923
PID_25,North America,Nutcracker,nutcracker-01.jpg,No,60,60,67,75,18.007,6.833,4.698
PID_25,North America,Straw,straw-01.jpg,Yes,100,0,0,18,9.68,4.435,8.383
PID_25,North America,Napkin,napkin-01.jpg,Yes,100,0,0,0,9.196,6.734,6.549
PID_25,North America,Corkscrew,corkscrew-01.jpg,No,74,62,68,64,14.548,5.648,21.39
PID_25,North America,Cheese Cleaver,cheesecleaver-01.jpg,No,64,77,89,100,13.598,5.15,21.538
PID_25,North America,Apron,apron-01.jpg,No,100,4,0,54,15.456,28.035,6.017
PID_25,North America,Serving Fork,servingfork-01.jpg,No,85,76,88,96,12.023,6.691,3.865
PID_25,North America,Spider,spider-01.jpg,No,69,12,8,18,14.345,3.054,4.684
PID_26,Europe,Plate,plate-01.jpg,Yes,100,19,64,100,12.322,5.434,3.067
PID_26,Europe,Potato Masher,potatomasher-01.jpg,Yes,100,21,13,63,8.301,3.294,2.691
PID_26,Europe,Perforated Spoon,perforatedspoon-01.jpg,Yes,100,0,0,8,6.027,2.993,3.981
PID_26,Europe,Ramekin,ramekin-01.jpg,Yes,100,18,0,70,7.257,2.601,2.378
PID_26,Europe,Grater,grater-01.jpg,Yes,100,62,15,31,5.626,4.023,3.416
PID_26,Europe,Wine Glass,wineglass-01.jpg,Yes,100,22,86,78,6.829,2.772,3.386
PID_26,Europe,Cooling Rack,coolingrack-01.jpg,No,100,25,5,15,6.571,2.622,2.641
PID_26,Europe,Blow Torch,blowtorch-01.jpg,No,32,84,100,100,10.723,2.287,2.062
PID_26,Europe,Pitter,pitter-01.jpg,Yes,100,10,0,7,9.501,2.598,3.508
PID_26,Europe,Spatula,spatula-01.jpg,Yes,100,0,0,0,4.783,2.409,2.181
PID_27,Africa,Pizza Cutter,pizzacutter-01.jpg,No,68,50,50,74,24.664,22.613,11.518
PID_27,Africa,Piping Bag,pipingbag-01.jpg,No,34,50,0,0,14.694,5.849,5.231
PID_27,Africa,Hand Blender,handblender-01.jpg,No,81,50,14,68,16.708,9.839,4.019
PID_27,Africa,Tea Sieve,teasieve-01.jpg,Yes,100,0,0,23,22.656,4.043,8.09
PID_27,Africa,Egg Slicer,eggslicer-01.jpg,No,0,0,50,50,15.545,3.841,4.797
PID_27,Africa,Zester,zester-01.jpg,Yes,100,19,0,27,16.309,5.301,6.753
